iter	RMSE
116	0.3563594315
117	0.3563589148
118	0.3537047216
119	0.3525563686
120	0.3511230734
121	0.35112307
122	0.3507839012
123	0.3504682942
124	0.350468292
125	0.3504682909
126	0.3434031797
127	0.3434031454
128	0.3434031282
129	0.3434031195
130	0.3434031152
131	0.343403113
132	0.3434031119
133	0.3434031113
134	0.3434031111
135	0.3430855739
136	0.3430855447
137	0.3430855301
138	0.3383040536
139	0.3383040478
140	0.3383040449
141	0.338030527
142	0.3380305127
143	0.3375483107
144	0.33754831
145	0.3372506923
146	0.3372506242
147	0.33725059
148	0.3372505728
149	0.3372505641
150	0.3372505598
151	0.3369372175
152	0.3349365126
153	0.3346411139
154	0.3283427105
155	0.3283422492
156	0.3283420174
157	0.3283419009
158	0.3280400155
159	0.3277399359
160	0.3277399016
161	0.3277398844
162	0.3267063424
163	0.3265074661
164	0.3261982731
165	0.3245078193
166	0.3245077529
167	0.320953961
168	0.320951016
169	0.3209495355
170	0.3209487913
171	0.3209484173
172	0.3209482292
173	0.3209481347
174	0.3209480872
175	0.3209480633
176	0.3209480513
177	0.3200063303
178	0.3200061073
179	0.3200059953
180	0.3200059389
181	0.3200059106
182	0.3197374412
183	0.3182327595
184	0.3180473492
185	0.315651857
186	0.3156436396
187	0.3116897985
188	0.3116757557
189	0.3113709042
190	0.3109124172
191	0.310844155
192	0.3089805445
193	0.3078686059
194	0.3066597301
195	0.3064093039
196	0.306407212
197	0.3022765567
198	0.3020930606
199	0.3002019837
200	0.3002019002
201	0.2995539338
202	0.2993292976
203	0.2993291831
204	0.2993291255
205	0.2991295561
206	0.2978025548
207	0.2978013212
208	0.2973863945
209	0.2973863097
210	0.297197166
211	0.2964290838
212	0.2964288747
213	0.2948533673
214	0.2937174379
215	0.293523178
216	0.2929718317
217	0.2928003925
218	0.29279981
219	0.2927995172
220	0.29279937
221	0.2905869308
222	0.2905846911
223	0.2905835652
224	0.2903667005
225	0.2891004311
226	0.2839640942
227	0.2839580356
228	0.2839549901
229	0.2837107699
230	0.2835299528
231	0.2835288916
232	0.2833713751
233	0.2833708208
234	0.2833705422
235	0.2833704021
236	0.2812123848
237	0.2810071186
238	0.2810071181
239	0.2746717001
240	0.2746668005
241	0.2731376602
242	0.2731353945
243	0.2729631512
244	0.272962925
245	0.2727451334
246	0.2725785105
247	0.272578505
248	0.2698829465
249	0.2664600266
250	0.2658402154
251	0.265840081
252	0.2658400135
253	0.2658399795
254	0.2658399624
255	0.2658399538
256	0.2658399495
257	0.2658399474
258	0.2657236412
259	0.2649740591
260	0.2647756978
261	0.2647755708
262	0.2646895999
263	0.2646893387
264	0.2634784056
265	0.2634783901
266	0.2614036754
267	0.260679386
268	0.2606766213
269	0.2606752316
270	0.259340048
271	0.2593400019
272	0.2570394836
273	0.2555316243
274	0.255531201
275	0.2555309882
276	0.2555308812
277	0.2555308275
278	0.2553896044
279	0.2549831856
280	0.2549819386
281	0.2532729848
282	0.2531016532
283	0.2518266775
284	0.2518266296
285	0.2518266056
286	0.2490042139
287	0.2490035542
288	0.2488357216
289	0.2488354703
290	0.2441122563
291	0.2441111835
292	0.2439414851
293	0.2437452199
294	0.2437448236
295	0.2436047888
296	0.2434435725
297	0.2434435082
298	0.2433125798
299	0.2418012645
300	0.2416268902
301	0.2394700116
302	0.2394693423
303	0.2376755147
304	0.2376721649
305	0.2376704811
306	0.2364426802
307	0.2364399503
308	0.236438578
309	0.236351316
310	0.2363505142
311	0.2363501112
312	0.2363499086
313	0.2363498068
314	0.2337707741
315	0.2330837061
316	0.2318264504
317	0.2318260654
318	0.2295765305
319	0.2295746001
320	0.2295736297
321	0.2295731419
322	0.2295728967
323	0.2273029574
324	0.2263334462
325	0.2261839683
326	0.2261129775
327	0.2261127183
328	0.2261125881
329	0.2261125226
330	0.2261124897
331	0.2259091316
332	0.2223137994
333	0.2208903005
334	0.2206930135
335	0.2206929533
336	0.2185904047
337	0.2178606171
338	0.2178604055
339	0.2171187917
340	0.2171187242
341	0.2171186903
342	0.2169787237
343	0.2168723564
344	0.2167449001
345	0.2167449001
346	0.2167449001
347	0.2159249767
348	0.215923799
349	0.215923207
350	0.2134827281
351	0.2067595298
352	0.2061892202
353	0.2060730921
354	0.2060730004
355	0.2058750824
356	0.205874952
357	0.2049745206
358	0.2048667042
359	0.2047635469
360	0.2046644383
361	0.2046643016
362	0.2046642329
363	0.2045452162
364	0.2045451481
365	0.2035957928
366	0.2035949545
367	0.203594533
368	0.2035943212
369	0.2034970267
370	0.2034157467
371	0.2034157381
372	0.2029714891
373	0.2028450099
374	0.2013421105
375	0.2012244061
376	0.2008290067
377	0.2008284095
378	0.1995278687
379	0.1994451689
380	0.1994451561
381	0.1994451497
382	0.1979795657
383	0.197875581
384	0.1977623523
385	0.1976813024
386	0.1969889142
387	0.1969141221
388	0.1968093569
389	0.1935279559
390	0.1935274013
391	0.1922903548
392	0.1922368221
393	0.1922365302
394	0.1918997481
395	0.1918993263
396	0.1906362974
397	0.1906359928
398	0.1906358397
399	0.1903392921
400	0.1884085665
401	0.1857722757
402	0.1852751121
403	0.185017134
404	0.1849479709
405	0.1849479275
406	0.1848997029
407	0.1840776011
408	0.1831699885
409	0.1831687577
410	0.1831681391
411	0.1826097123
412	0.1824620034
413	0.1811466411
414	0.1811465296
415	0.1807094255
416	0.1759968987
417	0.1758081664
418	0.1758079139
419	0.175807787
420	0.1757515281
421	0.1756404187
422	0.1750707261
423	0.1750706966
424	0.1750706818
425	0.1750706744
426	0.1743313654
427	0.174265795
428	0.174166125
429	0.1731053312
430	0.1731053312
431	0.1731053312
432	0.1730131375
433	0.1717856398
434	0.171696865
435	0.1716511784
436	0.1715720003
437	0.1714719878
438	0.1714719076
439	0.170063382
440	0.1700616938
441	0.1694110507
442	0.1694110496
443	0.169411049
444	0.1694110487
445	0.1677105097
446	0.1664189178
447	0.1663536998
448	0.1663533958
449	0.166353243
450	0.1663531662
451	0.1661856179
452	0.1646284042
453	0.1646284026
454	0.1646284018
455	0.1646284014
456	0.1646284012
457	0.1646284011
458	0.1644997043
459	0.1639430671
460	0.1639430446
461	0.1639430333
462	0.1639430276
463	0.1638904598
464	0.1589383112
465	0.1589380604
466	0.1569782152
467	0.156902369
468	0.1569021746
469	0.1568302808
470	0.1567663469
471	0.156766126
472	0.1560499777
473	0.1560137149
474	0.1560132416
475	0.1549034495
476	0.1549030395
477	0.1549028334
478	0.1549027298
479	0.1540140402
480	0.1539384031
481	0.1535256188
482	0.1534584045
483	0.1534583688
484	0.1534583509
485	0.1534583419
486	0.152901709
487	0.1529009755
488	0.1528278821
489	0.1528276147
490	0.1526101889
491	0.1525236766
492	0.1503740753
493	0.1503738732
494	0.148920556
495	0.1488542914
496	0.1480517725
497	0.1475934252
498	0.1475140761
499	0.1474483005
500	0.1469081115
501	0.1467661354
502	0.145449107
503	0.145449092
504	0.1453857765
505	0.1453857244
506	0.1440665425
507	0.1440660401
508	0.1434316138
509	0.1433346546
510	0.1433346523
511	0.1433346512
512	0.1432666534
513	0.1432666444
514	0.1409376521
515	0.14084405
516	0.1391395892
517	0.1390683023
518	0.1390681205
519	0.1377051294
520	0.1376558105
521	0.1375951603
522	0.137595127
523	0.1368409045
524	0.1368408786
525	0.1368408655
526	0.1368408589
527	0.1368408556
528	0.136840854
529	0.1368408531
530	0.1368061184
531	0.1368060877
532	0.1362329046
533	0.1355933953
534	0.1355932487
535	0.1355931749
536	0.1355931379
537	0.1329233648
538	0.132923346
539	0.1328585508
540	0.1328585363
541	0.1325084967
542	0.1325083683
543	0.1324687313
544	0.1324687309
545	0.1308032519
546	0.1306798064
547	0.1306797997
548	0.1306275738
549	0.1304015201
550	0.1297296729
551	0.1297291529
552	0.1292277095
553	0.1274489418
554	0.1273937556
555	0.1273937377
556	0.1273937287
557	0.1273937242
558	0.1273937219
559	0.1273937207
560	0.1273336958
561	0.1272810299
562	0.1272301411
563	0.1272301313
564	0.1270355709
565	0.1270355472
566	0.1270069556
567	0.1269700318
568	0.1269428795
569	0.1269428598
570	0.1265176561
571	0.1265175233
572	0.1265174565
573	0.1264648588
574	0.1264648583
575	0.126464858
576	0.1264648579
577	0.1264135781
578	0.1264135776
579	0.1264135773
580	0.1263811052
581	0.1263810743
582	0.1263381039
583	0.1263381032
584	0.1259582471
585	0.1259579815
586	0.125957848
587	0.1259577809
588	0.1259577471
589	0.125914669
590	0.1259146587
591	0.1259146535
592	0.1259146509
593	0.1254370385
594	0.1253685669
595	0.1253685512
596	0.1253211087
597	0.1222488629
598	0.1219933353
599	0.1219536878
600	0.1212053862
601	0.1207524443
602	0.1207518398
603	0.1206818276
604	0.1206370106
605	0.1206369957
606	0.1194336411
607	0.1193827369
608	0.1193820031
609	0.1189528303
610	0.1189526939
611	0.1189526254
612	0.118621586
613	0.1186214154
614	0.1186213296
615	0.1178049346
616	0.117804336
617	0.1178040351
618	0.1177551674
619	0.1170698152
620	0.1170698119
621	0.1170698103
622	0.1170270021
623	0.115948911
624	0.1159489108
625	0.1156270003
626	0.1156269695
627	0.1153047182
628	0.114820133
629	0.1147825623
630	0.1140991736
631	0.1140354773
632	0.1140352244
633	0.1140350973
634	0.1125333457
635	0.1125330164
636	0.1124900777
637	0.1113940055
638	0.1113932364
639	0.1108666326
640	0.1108664746
641	0.1108282281
642	0.1107756977
643	0.1107419411
644	0.1107419367
645	0.1107419345
646	0.1107419334
647	0.1107419329
648	0.1102379104
649	0.1088766115
650	0.1088765743
651	0.1088765555
652	0.1088407824
653	0.106775138
654	0.1067738806
655	0.1061845349
656	0.1061844845
657	0.1061577384
658	0.1061034949
659	0.1060596504
660	0.1060595528
661	0.1060595037
662	0.1060594791
663	0.1060594667
664	0.1060594604
665	0.1058367534
666	0.1058367416
667	0.1058367357
668	0.105792645
669	0.1057495506
670	0.1046527958
671	0.1031900315
672	0.1031438496
673	0.1031437424
674	0.1031436884
675	0.1030901722
676	0.1029389843
677	0.1027127906
678	0.1027126712
679	0.1027126112
680	0.1027125811
681	0.1018741888
682	0.1018741878
683	0.1018741873
684	0.1016704138
685	0.1016227756
686	0.09962686816
687	0.09962669512
688	0.09962660814
689	0.09962656442
690	0.09957871534
691	0.09839182256
692	0.09839160295
693	0.09839149256
694	0.09839143707
695	0.09839140917
696	0.09839139515
697	0.0983913881
698	0.09792690382
699	0.09724769686
700	0.09720735269
701	0.09716367759
702	0.09712127879
703	0.09600787701
704	0.09596712546
705	0.09457271313
706	0.09411851188
707	0.09411849827
708	0.09411849144
709	0.09407940487
710	0.09407940368
711	0.09357758316
712	0.09357661928
713	0.09357613475
714	0.09357589118
715	0.09357576875
716	0.09353448345
717	0.09335102521
718	0.0933509024
719	0.09335084067
720	0.09331566295
721	0.0926609727
722	0.09262120469
723	0.09230695954
724	0.09230689176
725	0.09230685769
726	0.09230684056
727	0.09230683195
728	0.09230682762
729	0.09227224042
730	0.09227223936
731	0.09195851992
732	0.09191617802
733	0.09191617781
734	0.0919161777
735	0.09191617765
736	0.09191617762
737	0.09188155013
738	0.09188154931
739	0.09183601154
740	0.09150599023
741	0.0905280693
742	0.09052774606
743	0.09033817584
744	0.09033816737
745	0.09033816311
746	0.09033816096
747	0.09033815989
748	0.09033815935
749	0.08959138902
750	0.08959108195
751	0.08916349217
752	0.08916203204
753	0.08916129806
754	0.0891609291
755	0.08916074363
756	0.08907710507
757	0.08886649963
758	0.08881605683
759	0.08800263209
760	0.08768108178
761	0.08768105747
762	0.08768104525
763	0.08768103911
764	0.08763782205
765	0.08733685321
766	0.08733652117
767	0.08733635427
768	0.08733627037
769	0.08730477509
770	0.08694970199
771	0.08694906576
772	0.08691716046
773	0.08688010182
774	0.08687998627
775	0.08687992818
776	0.08684993041
777	0.08682206797
778	0.08678622737
779	0.08675050657
780	0.08675050631
781	0.08675050617
782	0.08672364006
783	0.08669217357
784	0.08669216899
785	0.0866600805
786	0.08660039012
787	0.08612019112
788	0.08612019034
789	0.08610412783
790	0.08559681861
791	0.08530671655
792	0.08511387403
793	0.08499148478
794	0.08379796104
795	0.08379735373
796	0.08367073546
797	0.08367069815
798	0.0836706794
799	0.08367066998
800	0.08367066524
801	0.08317739473
802	0.08317688161
803	0.08313982714
804	0.08277709866
805	0.08258112005
806	0.0825809972
807	0.08258093544
808	0.0825809044
809	0.08162912243
810	0.08162911962
811	0.08162911821
812	0.08132060175
813	0.08110763466
814	0.08084353818
815	0.08084353741
816	0.08055759807
817	0.08055759752
818	0.08055759725
819	0.08020824267
820	0.07929151836
821	0.07929071038
822	0.07926002167
823	0.07877879777
824	0.07875155426
825	0.07871850836
826	0.07868711897
827	0.07834980226
828	0.07834937904
829	0.07736412556
830	0.07736331398
831	0.077362906
832	0.07736270092
833	0.07736259783
834	0.0768279957
835	0.07650779511
836	0.07624587805
837	0.07604160515
838	0.07604085607
839	0.07604047952
840	0.07604029023
841	0.07604019508
842	0.07581611141
843	0.07575767962
844	0.07575767864
845	0.07575767815
846	0.07572163495
847	0.07572163135
848	0.07525916141
849	0.07525857357
850	0.07525827807
851	0.07525812953
852	0.07522792113
853	0.07522786665
854	0.07522783926
855	0.07519957784
856	0.07516898117
857	0.07494651246
858	0.07494627188
859	0.07492176739
860	0.07492165094
861	0.0749215924
862	0.07491482071
863	0.07432208465
864	0.07377721933
865	0.07375592167
866	0.07336232296
867	0.07336176707
868	0.0733465611
869	0.07334630756
870	0.07318223978
871	0.07297924817
872	0.0729790874
873	0.07294744827
874	0.07293078008
875	0.07293068023
876	0.07293063003
877	0.0729306048
878	0.07249328063
879	0.07225117942
880	0.07225109482
881	0.07225105228
882	0.07225103091
883	0.07225102016
884	0.07205616573
885	0.0720296608
886	0.07134971139
887	0.07134971122
888	0.07134971113
889	0.07132061506
890	0.07132061086
891	0.07132060876
892	0.0713206077
893	0.07030664073
894	0.07005788114
895	0.07005784551
896	0.0700578276
897	0.0700578186
898	0.07002915136
899	0.07000207271
900	0.07000205459
901	0.06997099523
902	0.06997098957
903	0.06926362173
904	0.06924006905
905	0.06923981913
906	0.06921017434
907	0.06918321112
908	0.06915975296
909	0.0691336778
910	0.06913366986
911	0.06911204646
912	0.0691120392
913	0.06911203556
914	0.06908830578
915	0.06908830276
916	0.06908830123
917	0.06812340675
918	0.06781935036
919	0.0678193499
920	0.06768566096
921	0.06768552774
922	0.06743722401
923	0.06743715596
924	0.06688051166
925	0.06688030225
926	0.06653747493
927	0.06651187201
928	0.06648620213
929	0.06646468811
930	0.06645174335
931	0.06645173039
932	0.06645172388
933	0.06642857953
934	0.06642857409
935	0.06614847294
936	0.06614847279
937	0.06600163359
938	0.0660014498
939	0.06600135741
940	0.0659510164
941	0.06593525684
942	0.0659352448
943	0.0659037656
944	0.06588490018
945	0.06586420466
946	0.0657775688
947	0.06577751595
948	0.06577748938
949	0.06575644242
950	0.06553770137
951	0.06531262932
952	0.06504129544
953	0.06504125297
954	0.06501441045
955	0.06475434378
956	0.06472703303
957	0.06407181068
958	0.06403699141
959	0.06403682952
960	0.06401830426
961	0.06369567261
962	0.06369567214
963	0.06369567191
964	0.06369567179
965	0.06369567174
966	0.06283033688
967	0.06283025593
968	0.06280224668
969	0.06277762449
970	0.06277760921
971	0.06277760153
972	0.06277759767
973	0.06266655778
974	0.06266650356
975	0.06265522948
976	0.06264945663
977	0.06215880059
978	0.06215868293
979	0.06184957521
980	0.06182885132
981	0.06182877557
982	0.0618075037
983	0.06180260739
984	0.0618025867
985	0.06152614226
986	0.0615260909
987	0.06152606507
988	0.06152605209
989	0.06111350724
990	0.06055820373
991	0.06055705561
992	0.06055647846
993	0.06055618833
994	0.06055604249
995	0.06055596918
996	0.06055593233
997	0.0605559138
998	0.06038243477
999	0.06018052618
